REF_DATE,NOC Major Group,National Occupational Classification (NOC),Economic region code,Economic region name,Number Employed (thousands)
2006,01,"Business, finance and administration occupations",3530,Toronto,576.1
2006,11,Professional occupations in business and finance,3530,Toronto,150.3
2006,12,Administrative and financial supervisors and administrative occupations,3530,Toronto,138.2
2006,13,"Finance, insurance and related business administrative occupations",3530,Toronto,31.5
2006,14,Office support occupations,3530,Toronto,184.0
2006,15,"Distribution, tracking and scheduling co-ordination occupations",3530,Toronto,72.2
2006,02,Natural and applied sciences and related occupations,3530,Toronto,217.8
2006,21,Professional occupations in natural and applied sciences,3530,Toronto,143.8
2006,22,Technical occupations related to natural and applied sciences,3530,Toronto,74.0
2006,03,Health occupations,3530,Toronto,134.4
2006,30,Professional occupations in nursing,3530,Toronto,32.8
2006,31,Professional occupations in health (except nursing),3530,Toronto,38.6
2006,32,Technical occupations in health,3530,Toronto,32.6
2006,34,Assisting occupations in support of health services,3530,Toronto,30.5
2006,04,"Occupations in education, law and social, community and government services",3530,Toronto,273.6
2006,40,Professional occupations in education services,3530,Toronto,111.8
2006,41,"Professional occupations in law and social, community and government services",3530,Toronto,66.4
2006,42,"Paraprofessional occupations in legal, social, community and education services",3530,Toronto,52.8
2006,43,Occupations in front-line public protection services,3530,Toronto,9.2
2006,44,"Care providers and educational, legal and public protection support occupations",3530,Toronto,33.5
2006,05,"Occupations in art, culture, recreation and sport",3530,Toronto,104.1
2006,51,Professional occupations in art and culture,3530,Toronto,40.4
2006,52,"Technical occupations in art, culture, recreation and sport",3530,Toronto,63.7
2006,06,Sales and service occupations,3530,Toronto,676.5
2006,62,Retail sales supervisors and specialized sales occupations,3530,Toronto,96.9
2006,63,Service supervisors and specialized service occupations,3530,Toronto,82.4
2006,64,Sales representatives and salespersons - wholesale and retail trade,3530,Toronto,141.5
2006,65,Service representatives and other customer and personal services occupations,3530,Toronto,140.1
2006,66,Sales support occupations,3530,Toronto,95.7
2006,67,"Service support and other service occupations, n.e.c.",3530,Toronto,119.9
2006,07,"Trades, transport and equipment operators and related occupations",3530,Toronto,355.8
2006,72,"Industrial, electrical and construction trades",3530,Toronto,122.5
2006,73,Maintenance and equipment operation trades,3530,Toronto,72.4
2006,74,"Other installers, repairers and servicers and material handlers",3530,Toronto,52.6
2006,75,Transport and heavy equipment operation and related maintenance occupations,3530,Toronto,87.5
2006,76,"Trades helpers, construction labourers and related occupations",3530,Toronto,20.9
2006,08,"Natural resources, agriculture and related production occupations",3530,Toronto,24.9
2006,82,"Supervisors and technical occupations in natural resources, agriculture and related production",3530,Toronto,9.3
2006,84,"Workers in natural resources, agriculture and related production",3530,Toronto,4.8
2006,86,"Harvesting, landscaping and natural resources labourers",3530,Toronto,10.8
2006,09,Occupations in manufacturing and utilities,3530,Toronto,214.0
2006,92,"Processing, manufacturing and utilities supervisors and central control operators",3530,Toronto,26.1
2006,94,Processing and manufacturing machine operators and related production workers,3530,Toronto,91.7
2006,95,Assemblers in manufacturing,3530,Toronto,52.5
2006,96,"Labourers in processing, manufacturing and utilities",3530,Toronto,43.6
2006,,"Total employed, all occupations",3540,Kitchener-Waterloo-Barrie,657.3
