X,Y,FID,OGF_ID,MOH_PRO_ID,SERV_TYPE,SERV_DET,EN_NAME,FR_NAME,EN_ALT,FR_ALT,ADDRESS_1,ADDRESS_2,ADDR_DESCR,COMMUNITY,POSTALCODE,GEO_UPT_DT,EFF_DATE
-79.4610753269999,43.855005917,9131,172387258,T0256,Retirement Home, ,V!VA Thornhill Woods Retirement Community, , , ,9700 Bathurst Street, , ,Vaughan,L6A4V2,20220428140112,20220426154818
-79.456852418,43.770631902,9158,172387137,T0138,Retirement Home, ,St. Bernard's Residence, , , ,685 Finch Avenue, , ,Toronto,M2R1P2,20220428135944,20220426154802
-80.274511923,43.1570710560001,9226,172386546,S0083,Retirement Home, ,Amber Lea Place Retirement Residence, , , ,384 St. Paul Avenue, , ,Brantford,N3R4N4,20220428140111,20220426154643
-77.387718186,44.1605528640001,9234,172386574,N0538,Retirement Home, ,Arabella Retirement Living, , , ,24 Dundas Street West, , ,Belleville,K8P3M7,20220428135959,20220426154647
-79.400664992,43.6856547900001,9239,172386620,T0426,Retirement Home, ,Bradgate Arms, , , ,54 Foxbar Road, , ,Toronto,M4V2G6,20220428135914,20220426154653
-78.267724094,44.423391671,9259,172387060,T0347,Retirement Home, ,Regency Retirement Residence, , , ,91 Concession Street, , ,Lakefield,K0L2H0,20220428140019,20220426154751
-82.2086322599999,42.393546428,9283,172386768,S0385,Retirement Home, ,Chatham Retirement Resort, , , ,25 Keil Drive, , ,Chatham,N7L5J9,20220428135928,20220426154713
-75.85576908,45.291603326,9311,172386752,N0059,Retirement Home, ,Chartwell Stonehaven Retirement Residence, , , ,70 Stonehaven Drive, , ,Ottawa,K2M3B4,20220428140054,20220426154710
-79.086141405,43.840164632,9357,172387257,T0025,Retirement Home, ,V!VA Pickering Retirement Community, , , ,1880 Glengrove Road, , ,Pickering,L1V1X2,20220428135945,20220426154818
-74.751483493,45.037485228,9374,172387099,N0020,Retirement Home, ,Sandfield Place, , , ,220 Emma Avenue, , ,Cornwall,K6J5V8,20220428135914,20220426154756
-79.217028145,43.8154763210001,9383,172386533,T0474,Retirement Home, ,A Better Way Retirement Home Corp., , , ,34 Middleport Crescent, , ,Toronto,M1B4L1,20220428135944,20220426154641
-80.9376646649999,44.5756834690001,9390,172386906,S0087,Retirement Home, ,Kelso Villa Retirement Home, , , ,1475 2nd Avenue, , ,Owen Sound,N4K6Z2,20220428135929,20220426154731
-83.0216410039999,42.3133570730001,9412,172386801,S0134,Retirement Home, ,Dolce Vita Retirement Living, , , ,854 Erie Street, , ,Windsor,N9A3Y6,20220428140036,20220426154717
-79.246260283,42.9844215730001,9432,172387268,S0473,Retirement Home, ,Villa de Rose, , , ,370 Hellems Avenue, , ,Welland,L3B0B5,20220428135929,20220426154819
-79.286074301,43.046595182,9439,172387127,S0011,Retirement Home, ,Shorthills Villa Retirement Community, , , ,1532 Pelham Street, , ,Pelham,L0S1E3,20220428140037,20220426154800
-76.157614542,44.8540090380001,9456,172387071,N0522,Retirement Home, ,Rideau Ferry Country Home, , , ,1333 Rideau Ferry Road, , ,Perth,K7H3C7,20220428140054,20220426154753
-79.3965412749999,44.60677945,9467,172386937,N0242,Retirement Home, ,Leacock Retirement Lodge Ltd., , , ,298 Forest Avenue, , ,Orillia,L3V0C3,20220428140112,20220426154735
