County Name,Census division name,Family Medicine,Specialist,Grand Total
Simcoe,Wasaga Beach,22,,22
"Stormont, Dundas and Glengarry",Akwesasne (Part) 59,1,1,2
"Stormont, Dundas and Glengarry",Cornwall,62,58,120
"Stormont, Dundas and Glengarry",North Dundas,36,11,47
"Stormont, Dundas and Glengarry",North Glengarry,13,,13
"Stormont, Dundas and Glengarry",North Stormont,5,,5
"Stormont, Dundas and Glengarry",South Dundas,7,2,9
"Stormont, Dundas and Glengarry",South Stormont,2,,2
Sudbury,Chapleau,3,1,3
Sudbury,Espanola,7,,8
Sudbury,Sables-Spanish Rivers,2,,2
Thunder Bay,Fort William 52,2,208,2
Thunder Bay,Greenstone,8,,8
Thunder Bay,Manitouwadge,3,,3
Thunder Bay,Marathon,10,,10
Thunder Bay,Schreiber,2,,2
Thunder Bay,Terrace Bay,2,,2
Thunder Bay,Thunder Bay,171,,379
Thunder Bay,"Thunder Bay, Unorganized",3,,3
Timiskaming,Charlton and Dack,5,,5
Timiskaming,Coleman,1,,1
Timiskaming,Kirkland Lake,9,1,10
Timiskaming,Latchford,1,,1
Timiskaming,Temiskaming Shores,21,3,24
Toronto,Toronto,3688,5938,9626
Waterloo,Cambridge,149,113,262
Waterloo,Kitchener,272,290,562
Waterloo,North Dumfries,6,,6
Waterloo,Waterloo,120,78,198
Waterloo,Wellesley,3,,3
Waterloo,Wilmot,9,,9
Waterloo,Woolwich,13,1,14
Wellington,Centre Wellington,45,12,57
Wellington,Erin,9,,9
Wellington,Guelph,191,162,353
Wellington,Guelph/Eramosa,3,,3
Wellington,Mapleton,4,,4
Wellington,Minto,5,,5
Wellington,Puslinch,2,,2
Wellington,Wellington North,10,1,11
York,Aurora,59,11,70
York,East Gwillimbury,14,1,15
York,Georgina,25,1,26
York,King,14,2,16
York,Markham,287,279,566
York,Newmarket,127,253,380
York,Richmond Hill,222,265,487
York,Vaughan,292,198,490
York,Whitchurch-Stouffville,24,3,27
