,Economic region code,Economic region name,Census division code,Census division name,Census subdivision code,Census subdivision name,Total Population,Total Private Dwellings,Population density (people/square km),Land area (square km),Total - Age groups,0-14 Years,15-64 Years,15-19 Years,20-24 Years,>=65,Average Age of Population,Median Age of Population,Total households by #/room,1 or fewer per room,>1 per room,Total households by housing suitability,Suitable housing,Unsuitable housing,Total owned and rented households >0 income,<30 percent of income spent on shelter,>=30 percent of income spent on shelter,30 - <100 percent of income spent on shelter,Total commuting duration,Commute <15 min,Commute 15-29 min,Commute 30-44 min,Commute 45-59 min,Commute >=60 min
51,3515, Kingston-Pembroke,3512,"Hastings, County (CTY)",3512005,Belleville,55071,24582,222.8,247.15,55070,8225,33820,2810,3120,13030,44.5,45.2,23535,23275,260,23535,22490,1045,23425,18195,5235,4960,18805,9285,6070,2100,585,775
52,3515, Kingston-Pembroke,3512,"Hastings, County (CTY)",3512015,Quinte West,46560,19888,94,495.45,46560,7355,28860,2320,2195,10345,44,45.6,19055,18960,95,19055,18505,555,18875,16055,2820,2685,16820,6695,6675,1980,565,900
53,3515, Kingston-Pembroke,3512,"Hastings, County (CTY)",3512020,Stirling-Rawdon,5015,2074,17.8,282.48,5015,850,3035,255,220,1130,44.1,46.4,1975,1955,15,1975,1870,100,1870,1575,295,260,1825,440,675,445,135,135
54,3515, Kingston-Pembroke,3512,"Hastings, County (CTY)",3512026,Centre Hastings,4801,2180,21.5,222.79,4800,740,2830,250,205,1230,45.6,49.2,1940,1920,20,1940,1885,55,1875,1520,355,315,1600,340,535,465,135,125
55,3515, Kingston-Pembroke,3512,"Hastings, County (CTY)",3512030,Tweed,6067,3042,6.6,918.61,6065,770,3550,275,235,1750,48.5,53.6,2590,2590,0,2590,2535,55,2500,2085,415,375,1980,505,450,590,220,215
56,3515, Kingston-Pembroke,3512,"Hastings, County (CTY)",3512036,Madoc,2233,934,8.1,274.58,2235,345,1375,110,95,510,45,49.6,870,860,10,870,840,30,815,685,130,120,765,220,165,160,130,95
57,3515, Kingston-Pembroke,3512,"Hastings, County (CTY)",3512046,Marmora and Lake,4267,2578,7.9,538.24,4270,530,2475,195,155,1260,49.1,56,1885,1870,20,1885,1800,85,1865,1500,360,345,1265,340,245,200,230,255
58,3515, Kingston-Pembroke,3512,"Hastings, County (CTY)",3512048,Tudor and Cashel,740,758,1.7,433.31,740,65,460,25,25,210,51.1,57.2,350,350,0,350,350,0,355,285,70,65,195,45,25,40,40,55
59,3515, Kingston-Pembroke,3512,"Hastings, County (CTY)",3512051,Limerick,436,533,2.2,201.04,435,45,230,10,15,165,53,60,195,195,0,195,195,0,200,170,25,25,70,15,20,20,0,10
60,3515, Kingston-Pembroke,3512,"Hastings, County (CTY)",3512054,Wollaston,721,757,3.3,215.87,720,70,400,30,20,245,52.1,58,360,360,0,360,360,0,360,280,80,80,180,45,15,60,25,35
61,3515, Kingston-Pembroke,3512,"Hastings, County (CTY)",3512058,Faraday,1612,1290,7.4,217.44,1615,165,945,70,55,505,50.7,57.2,755,750,0,755,745,15,740,625,115,110,415,185,135,40,15,35
62,3515, Kingston-Pembroke,3512,"Hastings, County (CTY)",3512061,Bancroft,4065,2007,17.9,227.54,4065,495,2190,175,155,1385,50.4,56,1800,1770,30,1800,1725,80,1795,1410,385,360,1180,690,270,110,20,90
63,3515, Kingston-Pembroke,3512,"Hastings, County (CTY)",3512065,Carlow/Mayo,953,663,2.5,385.32,950,130,535,40,30,285,48.5,55.2,415,415,0,415,410,0,400,350,45,40,305,45,90,100,30,40
64,3515, Kingston-Pembroke,3512,"Hastings, County (CTY)",3512076,Hastings Highlands,4385,3529,4.5,966.58,4385,485,2455,170,135,1450,51.3,57.6,2005,1980,25,2005,1945,60,1960,1670,295,270,1305,360,470,250,80,140
65,3515, Kingston-Pembroke,3513,"Prince Edward, Census division (CDR)",3513020,Prince Edward County,25704,13557,24.4,1052.61,25700,2980,14115,940,855,8605,50.7,56.8,11335,11275,55,11335,11075,255,11015,9165,1845,1725,7440,2490,2685,1370,410,480
66,3520, Muskoka-Kawarthas,3514,"Northumberland, County (CTY)",3514004,Brighton,12108,5392,54.2,223.24,12110,1365,6740,485,490,4005,50.2,56,5015,4985,25,5015,4915,100,4940,4200,735,660,3445,925,1165,810,175,375
67,3520, Muskoka-Kawarthas,3514,"Northumberland, County (CTY)",3514014,Cramahe,6509,2772,32.2,202.22,6510,925,4090,340,285,1490,45.2,49.2,2600,2585,20,2600,2515,90,2550,2135,420,390,2555,620,885,490,185,375
68,3520, Muskoka-Kawarthas,3514,"Northumberland, County (CTY)",3514019,Hamilton,11059,4685,43.2,256.03,11060,1540,7010,605,520,2510,45.4,49.6,4280,4260,25,4280,4180,100,4180,3675,515,470,4315,1285,1450,675,480,425
69,3520, Muskoka-Kawarthas,3514,"Northumberland, County (CTY)",3514020,Port Hope,17294,7607,62,278.8,17295,2215,10240,800,740,4840,47.4,50.8,7320,7270,50,7320,7035,280,7210,5705,1505,1380,5795,2065,1480,1070,490,685
70,3520, Muskoka-Kawarthas,3514,"Northumberland, County (CTY)",3514021,Cobourg,20519,9520,915.7,22.41,20520,2535,10995,965,840,6985,49.9,54.8,9135,9085,50,9135,8815,320,9120,7045,2075,1885,6185,3365,1265,655,455,455
71,3520, Muskoka-Kawarthas,3514,"Northumberland, County (CTY)",3514024,Alnwick/Haldimand,7473,3323,18.8,398.25,7470,1010,4725,415,355,1735,45.7,49.6,2825,2800,25,2825,2740,85,2730,2325,405,380,2745,625,945,465,220,485
72,3520, Muskoka-Kawarthas,3514,"Northumberland, County (CTY)",3514027,Alderville First Nation,542,282,43,12.59,540,75,330,30,25,135,45.5,49.2,250,250,10,250,240,15,0,0,0,0,155,70,40,25,0,20
73,3520, Muskoka-Kawarthas,3514,"Northumberland, County (CTY)",3514045,Trent Hills,13861,7057,27,513.85,13860,1725,7825,635,525,4315,49.2,55.2,5900,5850,55,5900,5730,170,5650,4590,1060,970,4370,1405,1090,755,590,530
74,3520, Muskoka-Kawarthas,3515,"Peterborough, County (CTY)",3515003,Asphodel-Norwood,4658,1985,28.8,161.62,4660,760,2775,235,190,1120,44.5,46,1855,1855,0,1855,1815,35,1785,1525,255,240,1655,390,480,485,110,180
75,3520, Muskoka-Kawarthas,3515,"Peterborough, County (CTY)",3515005,Otonabee-South Monaghan,7087,3050,20.5,346.15,7090,1110,4280,320,290,1700,45.3,49.2,2735,2710,20,2735,2685,45,2565,2185,380,350,2480,655,1035,355,140,300
76,3520, Muskoka-Kawarthas,3515,"Peterborough, County (CTY)",3515008,Hiawatha First Nation,341,210,38.2,8.93,340,35,210,15,15,95,48.4,52.8,155,155,0,155,155,0,0,0,0,0,105,55,20,20,10,10
77,3520, Muskoka-Kawarthas,3515,"Peterborough, County (CTY)",3515013,Cavan Monaghan,10016,3704,32.7,306.39,10015,1780,6125,495,440,2110,43.2,44.8,3555,3540,10,3555,3470,85,3405,2930,465,430,3475,835,1190,750,295,400
78,3520, Muskoka-Kawarthas,3515,"Peterborough, County (CTY)",3515014,Peterborough,83651,38006,1291.8,64.76,83650,11960,51435,4195,5985,20265,44.1,43.2,35980,35695,280,35980,34625,1355,35895,26660,9235,8535,26845,13915,7245,2550,1400,1735
79,3520, Muskoka-Kawarthas,3515,"Peterborough, County (CTY)",3515015,Selwyn,18653,8540,59,316.12,18655,2620,10685,925,825,5345,47.2,52,7480,7455,35,7480,7345,135,7340,6275,1060,1000,6170,1535,2525,1180,345,585
80,3520, Muskoka-Kawarthas,3515,"Peterborough, County (CTY)",3515019,Curve Lake First Nation 35,1244,650,187.4,6.64,1245,215,765,60,60,270,43.7,48.4,545,540,0,545,515,30,0,0,0,0,320,115,65,70,25,40
81,3520, Muskoka-Kawarthas,3515,"Peterborough, County (CTY)",3515023,Douro-Dummer,7632,3601,16.6,459.46,7630,1210,4660,400,355,1760,44.8,48.4,2925,2920,0,2925,2855,70,2790,2445,345,300,2700,490,1075,665,190,275
82,3520, Muskoka-Kawarthas,3515,"Peterborough, County (CTY)",3515030,Havelock-Belmont-Methuen,5083,3856,9.6,529.35,5085,630,2930,215,205,1525,48.8,54.4,2230,2205,30,2230,2150,85,2205,1850,360,320,1530,330,295,415,260,235
83,3520, Muskoka-Kawarthas,3515,"Peterborough, County (CTY)",3515037,North Kawartha,2877,3693,3.9,746.35,2880,300,1565,95,90,1010,51.8,59.2,1335,1335,0,1335,1325,10,1325,1135,190,170,785,225,145,165,95,150
84,3520, Muskoka-Kawarthas,3515,"Peterborough, County (CTY)",3515044,Trent Lakes,6439,5750,7.7,833.72,6435,635,3720,205,215,2085,51.7,58,2950,2930,15,2950,2890,65,2930,2500,430,365,1820,400,405,430,195,390
85,3520, Muskoka-Kawarthas,3516,"Kawartha Lakes, Census division (CDR)",3516010,Kawartha Lakes,79247,38947,26.1,3033.66,79245,10540,46355,3425,3655,22355,47.4,51.6,32705,32540,170,32705,31830,880,31795,25715,6085,5620,26165,7185,6495,4730,2695,5060
86,3530, Toronto,3518,"Durham, Regional municipality (RM)",3518001,Pickering,99186,34327,429.2,231.1,99185,16405,66350,5915,6275,16435,40.9,40.8,33425,32675,745,33425,31650,1775,33270,25240,8030,7355,29865,5605,8450,8175,3820,3810
87,3530, Toronto,3518,"Durham, Regional municipality (RM)",3518005,Ajax,126666,40275,1900.6,66.64,126665,23805,86275,8305,8180,16585,38.6,38.4,39490,38180,1310,39490,36645,2845,39390,29665,9725,9055,39745,8600,10405,9325,5430,5985
88,3530, Toronto,3518,"Durham, Regional municipality (RM)",3518009,Whitby,138501,47389,944.1,146.69,138505,26425,91640,9620,8155,20440,39.5,40,46460,45670,785,46460,44445,2020,46335,36450,9885,9145,42240,10445,11860,8235,5505,6195
89,3530, Toronto,3518,"Durham, Regional municipality (RM)",3518013,Oshawa,175383,69324,1203.6,145.72,175380,30805,115250,9680,10800,29325,40.3,39.2,66630,65285,1350,66630,62575,4060,66345,48015,18330,16945,56960,14955,17575,9710,5995,8715
90,3530, Toronto,3518,"Durham, Regional municipality (RM)",3518017,Clarington,101427,36852,166,610.84,101425,19620,66140,5990,5460,15670,39.6,39.2,35950,35620,330,35950,34800,1150,35665,29020,6645,6170,36720,9040,12515,6875,3565,4725
91,3530, Toronto,3518,"Durham, Regional municipality (RM)",3518020,Scugog,21581,8734,45.5,474.38,21580,3020,13325,1205,1120,5230,45.8,49.2,8245,8205,35,8245,8070,175,7985,6650,1335,1180,7660,1970,1585,1755,1095,1255
92,3530, Toronto,3518,"Durham, Regional municipality (RM)",3518022,Mississaugas of Scugog Island,125,51,48.6,2.57,125,30,85,10,10,10,34,32.8,50,50,0,50,45,0,,,,,25,20,0,0,0,0
93,3530, Toronto,3518,"Durham, Regional municipality (RM)",3518029,Uxbridge,21556,8310,51.3,420.52,21560,3270,13675,1350,1285,4615,44.2,47.2,8010,7965,45,8010,7870,140,7775,6200,1570,1365,7260,1980,1545,1590,1070,1070
94,3530, Toronto,3518,"Durham, Regional municipality (RM)",3518039,Brock,12567,5297,29.7,422.64,12565,2130,7670,600,545,2770,43.5,44.4,4785,4745,45,4785,4600,190,4660,3715,945,875,4800,1115,950,900,630,1195
95,3530, Toronto,3519,"York, Regional municipality (RM)",3519028,Vaughan,323103,107159,1185.9,272.44,323105,53290,217120,22300,21695,52690,40.9,41.6,103915,101010,2910,103915,97985,5930,103545,74660,28885,25505,100805,20325,35340,26770,9590,8780
96,3530, Toronto,3519,"York, Regional municipality (RM)",3519036,Markham,338503,114908,1604.8,210.93,338500,53880,222560,20555,20345,62060,41.8,42.4,110865,106485,4385,110865,103130,7730,110140,74020,36120,30475,89280,15220,30635,24575,9200,9650
97,3530, Toronto,3519,"York, Regional municipality (RM)",3519038,Richmond Hill,202022,72017,2004.4,100.79,202020,29970,137390,13730,12525,34665,42.2,43.6,69315,67400,1910,69315,65195,4120,68925,43350,25570,20820,55290,9145,17865,16055,5975,6250
98,3530, Toronto,3519,"York, Regional municipality (RM)",3519044,Whitchurch-Stouffville,49864,17154,241.6,206.42,49865,9655,31270,2995,2425,8940,40.8,41.6,16710,16425,285,16710,16140,565,16615,12330,4280,3785,14470,3130,3730,4110,1640,1860
99,3530, Toronto,3519,"York, Regional municipality (RM)",3519046,Aurora,62057,22253,1241.1,50,62060,10580,41920,4225,3775,9555,40.9,42,21510,21170,335,21510,20750,755,21440,15145,6295,5430,18335,4615,4425,4770,2430,2090
100,3530, Toronto,3519,"York, Regional municipality (RM)",3519048,Newmarket,87942,31239,2284.1,38.5,87940,14520,59485,5770,5485,13945,41,41.6,30300,29820,480,30300,28920,1380,30200,22200,8000,7170,28345,8520,6855,6355,3385,3225
101,3530, Toronto,3519,"York, Regional municipality (RM)",3519049,King,27333,9346,82.3,332.12,27330,4875,18010,1890,1720,4450,41.1,43.2,8965,8865,105,8965,8725,245,8790,6455,2340,1955,8650,1315,2700,2550,1105,975
102,3530, Toronto,3519,"York, Regional municipality (RM)",3519054,East Gwillimbury,34637,11869,141.4,244.91,34635,6635,23200,1955,1925,4805,39.2,39.6,11450,11360,90,11450,11095,355,11390,8335,3055,2670,11340,2165,3235,2615,1755,1570
103,3530, Toronto,3519,"York, Regional municipality (RM)",3519070,Georgina,47642,19368,165.6,287.69,47640,7770,31855,2415,2475,8010,41.9,42.8,17895,17740,155,17895,17200,695,17785,13605,4185,3755,17835,3555,4420,3960,2405,3485
