,AIRPORT_TYPE,NAME,AIRPORT_IDENT,LATITUDE,LONGITUDE
303,Seaplane Base,Head Lake,CPV5,44.721388899999994,78.9108333
304,Airport,Orillia,CNJ4,44.677105700000006,79.3105378
305,Seaplane Base,Dorset/Kawagama Lake (Old Mill Marina),CNK5,45.267304700000004,78.8094892
306,Seaplane Base,Arnprior,CNB5,45.407820799999996,76.3598768
307,Seaplane Base,Huntsville/Bella Lake,CPY7,45.45271760000001,79.0248169
308,Seaplane Base,Gananoque,CGN1,44.325,76.1569444
309,Seaplane Base,Keene/Elmhirst`s Resort,CNQ6,44.25146229999999,78.1041743
310,Seaplane Base,Renfrew/Hurds Lake,CNL6,45.4039062,76.64845770000001
311,Seaplane Base,Renfrew/Black Donald Lake,CPK8,45.21073,76.95830759999998
312,Seaplane Base,Gooderham/Pencil Lake,CNN7,44.8064508,78.3514448
313,Seaplane Base,Orillia/Lake St John,CNV6,44.681621299999996,79.3076379
314,Seaplane Base,Port Stanton/Sparrow Lake,CNX7,44.798235999999996,79.4114737
315,Seaplane Base,Orillia/Matchedash Lake,CPU5,44.789213200000006,79.4999332
316,Seaplane Base,Huntsville,CNU6,45.317566,79.2590687
317,Seaplane Base,Skeleton Lake,CPQ7,45.2319445,79.43611109999999
318,Seaplane Base,Lake Muskoka/Alport Bay,CLM3,45.021111100000006,79.3827778
319,Seaplane Base,Lake Rosseau/Windermere,CNP2,45.15824,79.5325666
320,Seaplane Base,Lake Rosseau/Arthurlie Bay,CPF9,45.111870200000006,79.55123990000001
321,Seaplane Base,Lake Muskoka/Mortimer`s Point,CNC7,45.05,79.56111109999999
322,Seaplane Base,Lake Muskoka/Dudley Bay,CNT5,45.0331034,79.6020157
323,Seaplane Base,Port Carling/Butterfly Lake,CPY8,45.093888899999996,79.6305556
324,Seaplane Base,Bala/Gibson Lake,CGL3,44.948705,79.7265802
325,Seaplane Base,Lake Rosseau/Cameron Bay,CPQ6,45.2526076,79.65756
326,Seaplane Base,Mac Tier/Francis Island,CPZ7,45.1502778,80.0191667
327,Seaplane Base,Parry Sound/Huron Island,CPS8,45.180765,80.1070449
328,Seaplane Base,Parry Sound/Frying Pan Island-Sans Souci,CPS9,45.1742348,80.1376375
329,Seaplane Base,Parry Sound/Derbyshire Island,CDS6,45.2444341,80.1548837
330,Seaplane Base,Parry Sound Harbour,CPS1,45.339226700000005,80.0350131
331,Seaplane Base,Nobel/Sawdust Bay,CNT2,45.4021191,80.1265803
332,Seaplane Base,Parry Sound/Deep Bay,CPT8,45.398611100000004,80.1819444
333,Seaplane Base,Portage Lake,CND9,45.7737888,80.2404911
334,Seaplane Base,Smoky Lake,CNS2,45.8594946,80.23529549999999
335,Seaplane Base,Mattawa,CPT7,46.3113889,78.72277779999999
336,Seaplane Base,North Bay,CNH7,46.3312807,79.4012358
337,Seaplane Base,Temagami,CNC8,47.0627539,79.79340529999999
338,Seaplane Base,Manitowaning,CPJ9,45.742180499999996,81.8040906
339,Seaplane Base,Little Current,CNZ9,45.9847922,81.9590937
340,Seaplane Base,Sudbury/ Azilda,CNC5,46.5410696,81.13143000000001
341,Seaplane Base,Algoma Mills,CPN6,46.188076099999996,82.8240775
342,Seaplane Base,Bar River,CNE5,46.42426270000001,84.1032453
343,Seaplane Base,Sault Ste. Marie/Partridge Point,CNV7,46.517539500000005,84.246178
344,Seaplane Base,Sault Ste. Marie,CPX8,46.5029773,84.32487840000002
345,Seaplane Base,Batchawana,CNF5,46.919136200000004,84.6061457
346,Seaplane Base,Five Mile Lake,CNY5,47.55778170000001,83.22196020000001
347,Seaplane Base,Timmins/Porcupine Lake,CPW5,48.477536900000004,81.20559229999999
348,Seaplane Base,Gowganda Lake,CPL6,47.650555600000004,80.78527779999999
349,Seaplane Base,Elk Lake,CNV5,47.7287047,80.32325240000002
350,Seaplane Base,Perry Lake,CPT6,48.5325,80.10722220000001
351,Seaplane Base,Hawk Junction,CNH6,48.071885200000004,84.5519426
352,Seaplane Base,White River,CNJ8,48.6269445,85.2233333
353,Seaplane Base,Granitehill Lake,CND6,49.097340100000004,85.20269990000001
354,Seaplane Base,Hornepayne,CNJ6,49.189001899999994,84.8844852
355,Seaplane Base,Pays Plat,CNM7,48.8756395,87.5810744
356,Seaplane Base,Geraldton/Hutchison Lake,CNE6,49.7840331,86.9408776
357,Seaplane Base,Nakina,CNE7,50.2168364,86.70832349999999
358,Seaplane Base,Thunder Bay,CKE6,48.455209,89.17472679999999
359,Seaplane Base,Kashabowie/Upper Shebandowan Lake,CKF5,48.6450836,90.4168983
360,Seaplane Base,Cushing Lake,CJT7,48.9436237,90.4998595
361,Seaplane Base,Armstrong/Waweig Lake,CKN6,50.1405778,89.1135342
362,Seaplane Base,Armstrong,CJF6,50.2631085,89.0424122
363,Seaplane Base,Atikokan,CJH6,48.7673469,91.6617486
364,Seaplane Base,Lac la Croix,CJU9,48.35562,92.21375
365,Seaplane Base,Sand Point Lake,CJD6,48.3417995,92.4539978
366,Seaplane Base,Fort Frances,CJM8,48.6277778,93.3577778
367,Seaplane Base,Rainy River,CKQ4,48.7193046,94.587626
368,Seaplane Base,Burditt Lake,CJC7,48.9194283,93.80205090000001
369,Seaplane Base,Nestor Falls/Sabaskong Bay,CKW3,49.1334993,93.9384517
370,Seaplane Base,Kenora,CJM9,49.7669456,94.4928788
371,Seaplane Base,Minaki/Pistol Lake,CKP3,49.9770915,94.7159581
372,Seaplane Base,Stewart Lake,CKV5,49.826648299999995,93.7130755
373,Seaplane Base,Vermilion Bay,CKH6,49.86892,93.4021538
374,Seaplane Base,Dryden,CJD8,49.762290899999996,92.852407
375,Seaplane Base,Ignace,CJD9,49.4132343,91.6759545
376,Seaplane Base,Savant Lake (Sturgeon Lake),CJP3,50.1883336,90.6888114
377,Seaplane Base,Hudson,CJA9,50.0921258,92.171745
378,Seaplane Base,Sioux Lookout,CKA6,50.0922031,91.9126953
379,Seaplane Base,Staunton Lake,CKK8,50.3791349,90.6533177
380,Seaplane Base,Pickle Lake,CKG4,51.466386299999996,90.1994973
381,Seaplane Base,Round Lake (Weagamow Lake),CKP6,52.9486115,91.3496322
382,Seaplane Base,Ear Falls,CJE8,50.5807547,93.1660802
383,Seaplane Base,Confederation Lake,CJL7,51.05096079999999,92.8226517
384,Seaplane Base,Red Lake,CKS4,51.0200635,93.8229575
385,Seaplane Base,Pikangikum,CKH4,51.7993277,93.99489940000001
386,Seaplane Base,Deer Lake,CJA8,52.6177966,94.0451631
387,Seaplane Base,Deer Lake/Keyamawun,CJZ7,52.682580099999996,94.4319499
388,Seaplane Base,Sandy Lake,CKE5,53.05687420000001,93.3324384
389,Seaplane Base,Big Hook Wilderness Camp,CJS6,53.5634645,92.9504507
390,Seaplane Base,Toronto/Billy Bishop Toronto City Airport,CPZ9,43.633191499999995,79.3943548
391,Seaplane Base,Hearst/Carey Lake,CNJ5,49.7440682,84.02444150000001
392,Seaplane Base,Nestor Falls,CKT3,49.106906099999996,93.9193803
393,Seaplane Base,Cochrane,CNN5,49.1016719,81.0228675
394,Seaplane Base,Moosonee,CNB7,51.2610624,80.65520459999999
395,Seaplane Base,Temagami/Mine Landing,CTM2,46.960577799999996,80.0247886
396,Seaplane Base,Sudbury/Ramsey Lake,CNB8,46.480936799999995,80.98531990000001
397,Seaplane Base,Port Loring,CNQ7,45.892171600000005,80.1027692
398,Seaplane Base,Little Lake,CPT5,44.4188812,79.6652712
399,Seaplane Base,Chapleau,CNL5,47.85,83.4
400,Seaplane Base,Ottawa/Rockcliffe,CTR7,45.4635513,75.6425772
401,Airport,Tobermory,CNR4,45.2209621,81.62799559999999
402,Heliport,Sioux Lookout,CKF7,50.0762287,91.9182836
